PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
vPYcY,4r1k1/1pp3p1/p6p/3p2P1/3Pb2K/5r1P/PP6/R1B1R3 b - - 0 26,e4f5 e1e8 g8f7 e8e3 f3f4 h4g3,1878,75,94,7613,advantage endgame hangingPiece long Rook King,https://lichess.org/1gArUwIx/black#Some(51),,"['advantage', 'endgame', 'hangingPiece', 'Rook', 'King']",5
JMgD4,7k/R5RN/3p2br/2p1pr2/4K3/2P5/P7/8 b - - 4 43,g6h7 g7h7 h6h7 a7h7 h8h7 e4f5,1741,75,94,7003,crushing endgame exposedKing long Rook King,https://lichess.org/7XueSubi/black#Some(85),,"['crushing', 'endgame', 'exposedKing', 'Rook', 'King']",5
5m4AR,8/8/8/1p1R4/pP6/P1k2K2/2p5/8 w - - 10 84,d5c5 c3b2 c5b5 c2c1q,1871,75,90,3945,advancedPawn crushing defensiveMove endgame promotion rookEndgame short King Pawn,https://lichess.org/kXCSLLhI#Some(166),,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'promotion', 'King', 'Pawn']",7
DDTRn,6Q1/8/p1R5/kp6/6P1/1P2p3/4rrp1/4K1R1 w - - 1 46,e1d1 e2d2 d1c1 f2f1 g1f1 g2f1q,1863,76,96,14874,advancedPawn endgame exposedKing long mate mateIn3 promotion queenRookEndgame Rook Pawn,https://lichess.org/aI6hUYzg#Some(90),,"['advancedPawn', 'endgame', 'exposedKing', 'mateIn3', 'promotion', 'Rook', 'Pawn']",7
9Buef,2k2br1/1pp1r3/p1p4p/4Npp1/P4B2/2PP4/1P2KP1P/R5R1 w - - 0 23,f4g5 e7e5 g5e3 g8g1 a1g1 f5f4,1879,76,93,4566,advantage hangingPiece long middlegame pin Rook Pawn,https://lichess.org/4kSqvaHX#Some(44),,"['advantage', 'hangingPiece', 'middlegame', 'pin', 'Rook', 'Pawn']",6
KYysw,8/8/6R1/4p3/4Pb1k/3KPq2/8/4R3 b - - 14 51,f4g3 e1h1 f3h1 g6h6 h4g5 h6h1,1848,75,96,2387,crushing endgame long sacrifice skewer Rook,https://lichess.org/iWDBfPko/black#Some(101),,"['crushing', 'endgame', 'sacrifice', 'skewer', 'Rook']",5
JcdPW,3r4/pp3Q2/6p1/5bk1/3B1p2/2P2Kp1/6P1/q6R b - - 1 34,a1h1 d4f6 g5h6 f7g7 h6h5 g7h7,1832,73,96,10287,endgame fork long mate mateIn3 Bishop Queen,https://lichess.org/sbtWXhQb/black#Some(67),,"['endgame', 'fork', 'mateIn3', 'Bishop', 'Queen']",5
mBtEI,1b4r1/5p1k/2Q1p2p/1P2q3/P2p4/6P1/5P1P/R4RK1 w - - 1 27,f2f3 g8g3 g1h1 g3g1 h1g1 e5h2,1864,72,96,14316,attraction discoveredAttack endgame long mate mateIn3 sacrifice Rook Queen,https://lichess.org/QLgRd7Iw#Some(52),,"['attraction', 'discoveredAttack', 'endgame', 'mateIn3', 'sacrifice', 'Rook', 'Queen']",7
RMlT4,4r3/2pq1kp1/p3p1p1/r5P1/2pPQ1P1/P1P2P2/1P6/2B1R1K1 b - - 0 35,d7d5 e4f4 f7g8 e1e5,1758,75,93,2464,advantage clearance endgame short Queen Rook,https://lichess.org/5kU3IA9d/black#Some(69),,"['advantage', 'clearance', 'endgame', 'Queen', 'Rook']",5
nDKSo,1rb2r2/5pk1/p2p4/1p1Pp2p/2PpP1pq/5PN1/PP4Q1/2KR1B2 b - - 3 20,g4f3 g3f5 g7f6 g2g7,1728,75,95,9499,doubleCheck fork mate mateIn2 middlegame short Knight Queen,https://lichess.org/dLJ6AClp/black#Some(39),,"['doubleCheck', 'fork', 'mateIn2', 'middlegame', 'Knight', 'Queen']",6
bKxvX,6k1/p4rpp/4Q2b/2p5/2P5/2q2N2/6PP/5R1K b - - 1 32,c3d3 e6f7 g8f7 f3e5 f7e7 e5d3,1794,74,96,9766,attraction crushing doubleCheck endgame fork long sacrifice Queen Knight,https://lichess.org/FdK1nYj4/black#Some(63),,"['attraction', 'crushing', 'doubleCheck', 'endgame', 'fork', 'sacrifice', 'Queen', 'Knight']",8
Jbe76,8/2R5/4p3/3p4/3PpP2/1r6/3KBk2/8 w - - 0 53,c7c6 b3b2 d2c3 b2e2,1799,75,93,2637,crushing deflection endgame short skewer Rook,https://lichess.org/z9eNqvNV#Some(104),,"['crushing', 'deflection', 'endgame', 'skewer', 'Rook']",5
omnjK,r4rk1/pp4pp/8/3BN3/3q4/5Q2/Pb3PPP/1R4K1 b - - 7 25,g8h8 e5g6 h7g6 f3h3 d4h4 h3h4,1798,76,96,10803,long mate mateIn3 middlegame sacrifice Knight Queen,https://lichess.org/jRrOOsAt/black#Some(49),,"['mateIn3', 'middlegame', 'sacrifice', 'Knight', 'Queen']",5
I9KH7,r1br2k1/ppq1bpp1/1npp3p/3Pp3/2P1P3/2NQBN1P/PP3PP1/R2R2K1 b - - 0 15,c6d5 e3b6 a7b6 c3d5,1800,75,93,2103,capturingDefender crushing intermezzo middlegame short Bishop Knight,https://lichess.org/Hzrjz9wD/black#Some(29),Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack,"['capturingDefender', 'crushing', 'intermezzo', 'middlegame', 'Bishop', 'Knight']",6
RGKxZ,rr4k1/n1p2p1p/5Pp1/p2p4/q2P3P/2Q1PP2/1PP3R1/1K4NR w - - 0 22,h4h5 a7b5 c3b3 b5a3 b1a2 b8b3,1737,74,90,1227,crushing discoveredAttack long middlegame queensideAttack Knight Rook,https://lichess.org/FrzeQuLp#Some(42),,"['crushing', 'discoveredAttack', 'middlegame', 'queensideAttack', 'Knight', 'Rook']",6
