PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
sgypy,1Q6/4kpp1/4p3/8/1b1P4/3BP2P/q2BKPP1/3r4 w - - 0 27,e2f3 a2d5 d3e4 d5h5 g2g4 h5h3,1943,75,93,2179,crushing deflection endgame long Queen,https://lichess.org/eDlNCzb2#Some(52),,"['crushing', 'deflection', 'endgame', 'Queen']",4
GMoty,3rk2r/pp1nbppp/1q2pn2/3pNPB1/Q2P4/2N5/PP4PP/R4RK1 b k - 2 15,e8g8 e5d7 d8d7 g5f6 e7f6 a4d7,1887,75,95,3836,capturingDefender crushing fork long middlegame Knight Bishop Queen,https://lichess.org/N1P23GEy/black#Some(29),Caro-Kann_Defense Caro-Kann_Defense_Other_variations,"['capturingDefender', 'crushing', 'fork', 'middlegame', 'Knight', 'Bishop', 'Queen']",7
ItCGu,r5k1/1p1n1ppp/1qnBp3/3pP3/3P4/2P2Q2/Pp4PP/RN3R1K b - - 1 18,b2a1q f3f7 g8h8 d6f8 d7f8 f7f8 a8f8 f1f8,1975,80,91,1862,backRankMate fork mate mateIn4 middlegame sacrifice veryLong Queen Bishop Rook,https://lichess.org/9pdTQGqs/black#Some(35),Nimzo-Larsen_Attack Nimzo-Larsen_Attack_English_Variation,"['fork', 'mateIn4', 'middlegame', 'sacrifice', 'Queen', 'Bishop', 'Rook']",7
MU7ky,rn1q1rk1/ppp2ppp/8/3P1n2/1b4P1/5N2/PB3P1P/RN1Q1RK1 b - - 0 13,f5h4 f3h4 d8h4 d1d4,1902,75,90,1666,advantage opening short Knight Queen,https://lichess.org/ID0tHDXn/black#Some(25),Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation,"['advantage', 'opening', 'Knight', 'Queen']",4
ranh3,8/4k3/4P1Rp/p7/P3K3/2p3P1/1r6/8 w - - 0 41,e4e5 b2e2 e5d4 c3c2,1959,77,96,6348,advancedPawn crushing endgame rookEndgame short Rook Pawn,https://lichess.org/b9EUbhkH#Some(80),,"['advancedPawn', 'crushing', 'endgame', 'Rook', 'Pawn']",5
xoWDA,r2k1b1r/pppnnBpp/8/4NQ2/8/2B5/P1P2PPP/4R1K1 b - - 0 20,e7f5 e5c6 b7c6 e1e8,1905,76,95,12603,clearance mate mateIn2 middlegame sacrifice short Knight Rook,https://lichess.org/nF0ZjaS0/black#Some(39),,"['clearance', 'mateIn2', 'middlegame', 'sacrifice', 'Knight', 'Rook']",6
asG2p,4rrk1/ppp2p2/3b2pp/3p4/3Pnq2/2P2N1P/PPQN1PK1/RB4R1 w - - 5 17,g1e1 e4d2 c2d2 f4d2 f3d2 e8e1,1914,76,95,6050,capturingDefender crushing long middlegame Knight Queen Rook,https://lichess.org/6hbq8ucV#Some(32),French_Defense French_Defense_Exchange_Variation,"['capturingDefender', 'crushing', 'middlegame', 'Knight', 'Queen', 'Rook']",6
O4vbv,4r1k1/ppn2qpp/2p1br2/8/1P1NQ3/P1N1R3/2P2PPP/4R1K1 w - - 6 21,e4h4 f6f4 h4g3 f4d4,1891,75,95,8204,advantage interference middlegame short Rook,https://lichess.org/wb1A48bS#Some(40),,"['advantage', 'interference', 'middlegame', 'Rook']",4
RqL9t,rn1q2k1/pp6/2p4p/3p1p2/3PnNr1/2B1RQ2/PPP3PP/R5K1 b - - 2 19,d8g5 f4e6 g5g6 e6c7 b8d7 c7a8,1917,75,92,1723,advantage long middlegame trappedPiece Knight,https://lichess.org/nzRQ3atd/black#Some(37),French_Defense French_Defense_Knight_Variation,"['advantage', 'middlegame', 'trappedPiece', 'Knight']",4
YHkR7,4r1k1/5pp1/p5b1/2P1q3/3R2Pp/1P2rB1P/P4QK1/3R4 w - - 2 33,d4d8 e3f3 f2f3 g6e4 d8e8 e5e8,1986,75,95,13639,advantage long middlegame pin sacrifice Rook Bishop Queen,https://lichess.org/pzNCsot5#Some(64),,"['advantage', 'middlegame', 'pin', 'sacrifice', 'Rook', 'Bishop', 'Queen']",7
SKFnZ,1rb2r1k/pp3ppn/3p4/3NpP2/2B1P2P/3PK3/PPP5/6R1 b - - 0 23,f7f6 d5e7 g7g5 f5g6,1950,76,91,1439,advantage enPassant middlegame short Knight Pawn,https://lichess.org/o4XihdH6/black#Some(45),,"['advantage', 'enPassant', 'middlegame', 'Knight', 'Pawn']",5
