PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
fYTrK,8/8/5p2/5k2/8/5KPr/4R3/8 w - - 1 59,e2e4 h3g3 f3g3 f5e4 g3f2 e4f4,1684,74,93,2116,crushing defensiveMove deflection endgame long rookEndgame Rook King,https://lichess.org/h60r0gM4#Some(116),,"['crushing', 'defensiveMove', 'deflection', 'endgame', 'Rook', 'King']",6
Tue4T,1b6/8/p1P2pkp/5n1r/8/1P1K2P1/P4PN1/2R5 b - - 0 51,h5h3 c6c7 b8c7 c1c7,1721,74,96,4182,advancedPawn crushing endgame short Pawn Rook,https://lichess.org/K4aRMrbi/black#Some(101),,"['advancedPawn', 'crushing', 'endgame', 'Pawn', 'Rook']",5
wktbe,2rq1rk1/4npb1/1p2p1pp/1P1p4/2P1n2N/4P1P1/1BQ2PBP/1R1R2K1 b - - 2 24,c8c4 c2c4 d5c4 d1d8 f8d8 g2e4,1692,74,96,5656,advantage long middlegame Queen Rook Bishop,https://lichess.org/eoRSf5j1/black#Some(47),,"['advantage', 'middlegame', 'Queen', 'Rook', 'Bishop']",5
xpsgC,8/8/5R1p/1p1k2K1/r7/2P4P/8/8 w - - 0 52,g5h6 a4h4 h6g5 h4h3 f6b6 d5c5,1674,77,96,14798,crushing endgame long rookEndgame Rook King,https://lichess.org/sph6hv45#Some(102),,"['crushing', 'endgame', 'Rook', 'King']",4
V4sN0,rn3r1k/ppp3pp/3p3q/3Q4/8/2P2NP1/PPP1K3/R6R b - - 0 20,h6f6 h1h7 h8h7 a1h1,1704,74,92,1788,attraction crushing kingsideAttack middlegame sacrifice short Rook,https://lichess.org/AlGtyRdi/black#Some(39),,"['attraction', 'crushing', 'kingsideAttack', 'middlegame', 'sacrifice', 'Rook']",6
VNoCt,8/8/3k4/1p3p2/pP1b3p/P1N2P1P/1K6/8 w - - 13 53,b2c2 d4c3 c2c3 d6e5,1794,75,96,1082,crushing defensiveMove endgame short Bishop King,https://lichess.org/IwkDEbGC#Some(104),,"['crushing', 'defensiveMove', 'endgame', 'Bishop', 'King']",5
Prk45,1r1qr1k1/pbp1bpp1/2pp1n1p/8/4P2B/1PNB3Q/P1P2PPP/4RRK1 b - - 1 14,f6d5 e4d5 e7h4 e1e8,1752,75,97,2935,crushing discoveredAttack kingsideAttack middlegame short Pawn Rook,https://lichess.org/xjgvrdda/black#Some(27),Scotch_Game Scotch_Game_Schmidt_Variation,"['crushing', 'discoveredAttack', 'kingsideAttack', 'middlegame', 'Pawn', 'Rook']",6
6Wnqm,4Qnk1/5ppp/8/p3Nq2/1b6/4B3/4rPPP/5RK1 b - - 9 35,b4c3 e3c5 h7h6 e8f8,1734,75,93,4843,advantage middlegame short Bishop Queen,https://lichess.org/1WjdHAJE/black#Some(69),,"['advantage', 'middlegame', 'Bishop', 'Queen']",4
uUMV9,2r2r2/5ppk/7p/2pRP3/2Q2P2/P5Pq/1PKR3P/8 w - - 5 30,d5c5 c8c5 c4c5 f8c8 c5c8 h3c8,1735,75,96,2816,clearance crushing endgame long pin Rook Queen,https://lichess.org/QVTPuHXI#Some(58),,"['clearance', 'crushing', 'endgame', 'pin', 'Rook', 'Queen']",6
0je51,2kr1bnr/p4ppp/2p5/4pb2/8/2N5/PPP2PPP/R1BK1B1R w - - 2 10,f1d3 e5e4 c3e4 f5e4,1750,75,97,2881,crushing middlegame pin short Pawn Bishop,https://lichess.org/2q71jSEp#Some(18),Sicilian_Defense Sicilian_Defense_Lowenthal_Variation,"['crushing', 'middlegame', 'pin', 'Pawn', 'Bishop']",5
0GFxA,8/p4p2/1p1R1nk1/8/5pPN/Pr5P/5K2/8 b - - 0 41,g6g5 h4f3 g5g6 g4g5 b3f3 f2f3,1743,74,89,1128,crushing endgame long Knight Pawn King,https://lichess.org/aZgDApid/black#Some(81),,"['crushing', 'endgame', 'Knight', 'Pawn', 'King']",5
p1mLG,r2qk2r/pp1n1pp1/2pbp2p/8/3PQ3/2P1BN1P/PP3PP1/R3K2R w KQkq - 0 14,e3f4 d7f6 e4e3 f6d5,1733,73,94,9430,advantage middlegame short Knight,https://lichess.org/0jcASKpu#Some(26),Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation,"['advantage', 'middlegame', 'Knight']",3
7SdhW,rn1q3r/ppp1pk1p/3p1bp1/5b2/2BPn3/4P1B1/PPP2PPP/RN1QK2R b KQ - 6 9,f5e6 c4e6 f7e6 d1g4 e6f7 g4e4,1706,75,93,1355,advantage attraction fork long opening Bishop Queen,https://lichess.org/lqCB5QDb/black#Some(17),East_Indian_Defense East_Indian_Defense_Other_variations,"['advantage', 'attraction', 'fork', 'opening', 'Bishop', 'Queen']",6
C9Fo0,7r/2PP1k2/pR6/1p6/8/3B1p2/P1P3r1/4K3 w - - 1 42,d7d8q h8h1 d3f1 g2e2 e1d1 h1f1,1777,75,95,5597,deflection endgame exposedKing long mate mateIn3 pin Rook,https://lichess.org/mk0EGnW0#Some(82),,"['deflection', 'endgame', 'exposedKing', 'mateIn3', 'pin', 'Rook']",6
